id_marks,id_targets,timestamps,ranges,azimuths,elevations,dopplers,powers,type,beam_ids,encoder_radian
1849,0,29284,6025.8,1.2389,0.30347,0,1576,0,-1,1.1045
1864,0,29326,27525,1.2657,0.04924,0,3712,0,-1,1.1536
1863,0,29327,94935,1.0695,0.047895,0,323,0,-1,1.1597
1860,0,29390,29414,1.1222,0.051322,0,34254,0,-1,1.1597
1866,0,29329,26625,1.2012,0.094856,0,436,0,-1,1.1597
1902,0,29624,9185,1.2596,0.2511,0,2.27E+05,0,-1,1.3499
1910,0,29709,4909.3,1.5903,0.31502,0,621,0,-1,1.3499
1914,0,29710,34183,1.2652,0.0055352,0,224,0,-1,1.3744
1912,0,29710,26250,1.3047,0.004491,0,33580,0,-1,1.3744
1913,0,29710,32068,1.2767,0.0048447,0,18129,0,-1,1.4051
1938,0,29818,28922,1.3754,0.010315,0,1826,0,-1,1.4481
1961,0,30002,29880,1.5846,0.014482,0,4439,0,-1,1.5524
1983,0,30078,30300,1.5957,0.013414,0,186,0,-1,1.6137
1974,0,30078,26564,1.9001,0.01214,0,2.26E+05,0,-1,1.6199
1987,0,30155,30600,1.6858,0.011006,0,3281,0,-1,1.6628
1991,0,30157,33005,1.5777,0.020675,0,68,0,-1,1.6751
1977,0,30155,28365,1.9244,0.010858,0,3.75E+05,0,-1,1.7365
2001,0,30245,27128,2.036,0.022775,0,17300,0,-1,1.7365
2019,0,30385,27525,1.8345,0.011539,0,12668,0,-1,1.804
2032,0,30435,31275,1.7041,0.0096821,0,1885,0,-1,1.8469
2022,0,30386,96583,1.7505,0.052171,0,140,0,-1,1.853
2027,0,30433,35052,1.8482,0.10962,1,60,0,-1,1.8592
2048,0,30523,28879,2.0071,0.12518,1,1335,0,-1,1.9083
2056,0,30610,28425,1.8866,0.01082,0,1269,0,-1,1.9267
2059,0,30733,1.46E+05,2.1116,0.029371,0,24,0,-1,1.9819
2099,0,30827,99075,2.2532,0.030362,3,382,0,-1,2.0923
2112,0,30924,1.03E+05,2.098,0.034895,2,11,0,-1,2.2028
2136,0,31062,27638,2.1262,0.043219,0,28,0,-1,2.2826
2167,0,31357,1.88E+05,2.3614,0.051501,0,32,0,-1,2.3869
2166,0,31289,54587,2.3558,0.079489,1,219,0,-1,2.3991
2177,0,31403,48004,2.4574,0.10172,1,149,0,-1,2.436
2189,0,31446,52206,2.5339,0.011532,0,5467,0,-1,2.4421
2193,0,31446,56324,2.324,0.010179,0,15983,0,-1,2.4544
2202,0,31502,1.03E+05,2.4544,0.037038,0,41,0,-1,2.5035
2204,0,31504,1.11E+05,2.7282,0.061238,0,250,0,-1,2.5035
2200,0,31546,17187,2.3422,0.16748,0,87,0,-1,2.5096
